timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777001389439,350,Request to Get Repository Details,200,OK,Git API Performance Testing 1-18,text,true,,8102,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,350,0,47
1777001389492,321,Request to Update Repository Details,200,OK,Git API Performance Testing 1-15,text,true,,8030,376,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,321,0,0
1777001389540,362,Request to Get Repository Details,200,OK,Git API Performance Testing 1-19,text,true,,8101,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,362,0,47
1777001389617,348,Request to Update Repository Details,200,OK,Git API Performance Testing 1-16,text,true,,8029,376,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,348,0,0
1777001389640,353,Request to Get Repository Details,200,OK,Git API Performance Testing 1-20,text,true,,8101,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,353,0,44
1777001389705,342,Request to Update Repository Details,200,OK,Git API Performance Testing 1-17,text,true,,8029,376,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,342,0,0
1777001389741,377,Request to Get Repository Details,200,OK,Git API Performance Testing 1-21,text,true,,8102,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,377,0,53
1777001389790,328,Request to Update Repository Details,200,OK,Git API Performance Testing 1-18,text,true,,8030,376,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,328,0,0
1777001389840,377,Request to Get Repository Details,200,OK,Git API Performance Testing 1-22,text,true,,8102,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,375,0,45
1777001389903,323,Request to Update Repository Details,200,OK,Git API Performance Testing 1-19,text,true,,8029,376,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,318,0,0
1777001389940,372,Request to Get Repository Details,200,OK,Git API Performance Testing 1-23,text,true,,8102,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,372,0,47
1777001389993,324,Request to Update Repository Details,200,OK,Git API Performance Testing 1-20,text,true,,8029,376,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,323,0,0
1777001390039,390,Request to Get Repository Details,200,OK,Git API Performance Testing 1-24,text,true,,8102,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,390,0,46
1777001390118,334,Request to Update Repository Details,200,OK,Git API Performance Testing 1-21,text,true,,8030,376,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,334,0,0
1777001390142,362,Request to Get Repository Details,200,OK,Git API Performance Testing 1-25,text,true,,8102,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,361,0,56
1777001390218,335,Request to Update Repository Details,200,OK,Git API Performance Testing 1-22,text,true,,8030,376,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,334,0,0
1777001390243,385,Request to Get Repository Details,200,OK,Git API Performance Testing 1-26,text,true,,8101,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,382,0,47
1777001390313,337,Request to Update Repository Details,200,OK,Git API Performance Testing 1-23,text,true,,8030,376,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,335,0,0
1777001390340,387,Request to Get Repository Details,200,OK,Git API Performance Testing 1-27,text,true,,8100,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,387,0,48
1777001390429,324,Request to Update Repository Details,200,OK,Git API Performance Testing 1-24,text,true,,8030,376,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,324,0,0
1777001390440,382,Request to Get Repository Details,200,OK,Git API Performance Testing 1-28,text,true,,8101,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,382,0,46
1777001390504,327,Request to Update Repository Details,200,OK,Git API Performance Testing 1-25,text,true,,8030,376,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,326,0,0
1777001390540,391,Request to Get Repository Details,200,OK,Git API Performance Testing 1-29,text,true,,8102,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,390,0,51
